wpm,raw,accuracy,consistency,date
108.8,123.2,94.23%,81.49%,11 Mar 2023  17:06
128.0,133.6,98.81%,83.31%,11 Mar 2023  17:00
65.6,88.8,84.07%,70.18%,11 Mar 2023  14:24
127.12,127.12,100.00%,86.75%,11 Mar 2023  14:23
135.11,137.51,98.27%,82.99%,10 Mar 2023  14:31
111.13,118.32,96.67%,76.91%,08 Mar 2023  12:37
120.0,120.0,98.04%,81.33%,08 Mar 2023  12:19
124.72,129.51,96.39%,84.71%,08 Mar 2023  12:13
118.32,127.91,95.63%,85.61%,07 Mar 2023  16:30
118.32,122.32,98.05%,83.91%,07 Mar 2023  16:28
131.11,136.71,97.69%,82.41%,07 Mar 2023  16:27
126.32,136.71,95.91%,84.71%,07 Mar 2023  16:27
119.2,125.6,98.09%,84.85%,07 Mar 2023  16:26
126.32,126.32,97.53%,80.52%,07 Mar 2023  16:09
124.0,125.6,95.09%,79.60%,07 Mar 2023  16:08
118.32,128.71,95.06%,81.42%,06 Mar 2023  18:25
123.92,135.91,96.47%,83.36%,05 Mar 2023  20:08
111.13,131.11,90.36%,85.82%,05 Mar 2023  18:18
115.12,130.31,95.09%,88.92%,05 Mar 2023  16:25
111.93,116.72,98.03%,74.81%,05 Mar 2023  14:51
123.12,127.91,98.15%,79.94%,05 Mar 2023  14:10
126.32,130.31,97.56%,82.18%,04 Mar 2023  22:19
103.13,107.93,94.33%,73.71%,04 Mar 2023  22:18
137.51,142.31,98.88%,91.37%,04 Mar 2023  22:16
107.2,137.6,90.12%,82.31%,04 Mar 2023  21:22
124.8,145.6,93.41%,83.83%,04 Mar 2023  09:59
132.0,135.2,98.22%,89.51%,04 Mar 2023  09:59
111.2,132.8,92.77%,87.89%,04 Mar 2023  09:58
100.73,129.51,84.76%,79.83%,04 Mar 2023  09:58
109.53,115.92,95.89%,77.66%,04 Mar 2023  00:07
115.2,128.0,96.25%,88.31%,03 Mar 2023  21:15
127.2,133.6,97.63%,78.39%,03 Mar 2023  21:14
125.43,139.81,96.00%,84.14%,03 Mar 2023  19:33
116.57,130.14,93.87%,78.52%,03 Mar 2023  17:11
117.52,151.9,86.91%,84.43%,02 Mar 2023  23:32
118.32,134.31,91.23%,80.84%,01 Mar 2023  15:55
108.8,118.4,94.67%,85.39%,28 Feb 2023  19:30
97.53,108.73,92.86%,66.89%,28 Feb 2023  16:45
119.92,134.31,93.60%,77.51%,28 Feb 2023  10:09
118.32,135.11,92.40%,84.37%,27 Feb 2023  14:12
99.13,120.72,89.54%,76.47%,25 Feb 2023  11:00
131.91,147.9,95.14%,87.21%,24 Feb 2023  20:15
115.92,124.72,95.57%,80.13%,24 Feb 2023  09:59
104.73,129.51,90.80%,82.26%,24 Feb 2023  09:05
111.2,120.8,97.37%,78.42%,24 Feb 2023  05:31
101.6,118.4,93.96%,80.73%,24 Feb 2023  01:35
122.32,126.32,97.50%,84.82%,24 Feb 2023  00:02
97.53,121.52,91.50%,82.76%,23 Feb 2023  11:50
117.6,129.6,95.12%,84.53%,21 Feb 2023  18:39
115.12,119.92,96.71%,80.64%,21 Feb 2023  18:38
112.8,112.8,97.93%,78.74%,21 Feb 2023  18:31
111.2,121.6,94.16%,77.66%,21 Feb 2023  18:18
100.0,133.6,86.47%,80.49%,21 Feb 2023  18:07
120.8,146.4,91.85%,83.84%,21 Feb 2023  18:07
139.2,142.4,98.88%,91.94%,21 Feb 2023  18:07
97.6,122.4,83.85%,69.49%,21 Feb 2023  17:31
119.92,130.31,95.76%,82.43%,20 Feb 2023  01:02
113.52,124.72,96.15%,87.94%,20 Feb 2023  00:33
121.52,139.91,92.57%,88.43%,19 Feb 2023  23:21
90.34,127.91,87.50%,83.70%,19 Feb 2023  17:08
100.0,134.4,89.53%,82.02%,18 Feb 2023  20:40
125.52,125.52,96.91%,84.43%,18 Feb 2023  20:40
99.13,113.52,92.96%,83.25%,18 Feb 2023  20:28
111.13,126.32,91.82%,81.84%,18 Feb 2023  20:21
117.52,131.91,94.61%,85.75%,18 Feb 2023  20:20
118.32,133.51,93.41%,85.75%,18 Feb 2023  14:32
114.4,130.4,94.48%,83.24%,18 Feb 2023  14:31
123.2,141.6,92.66%,80.38%,18 Feb 2023  13:41
99.93,106.33,97.76%,81.51%,18 Feb 2023  13:22
125.52,133.51,96.43%,86.48%,18 Feb 2023  13:15
127.91,131.91,97.01%,83.32%,18 Feb 2023  11:21
123.92,130.31,98.16%,88.92%,18 Feb 2023  11:21
92.74,143.1,84.44%,84.19%,18 Feb 2023  11:19
129.51,141.51,94.92%,82.44%,18 Feb 2023  11:18
115.12,127.12,94.41%,78.63%,18 Feb 2023  11:16
116.0,134.4,91.76%,84.66%,18 Feb 2023  11:15
131.11,142.31,96.11%,83.06%,18 Feb 2023  10:15
135.11,155.1,93.30%,88.54%,18 Feb 2023  08:09
129.6,148.0,95.68%,82.32%,18 Feb 2023  07:56
112.8,135.2,92.31%,87.25%,17 Feb 2023  21:17
115.12,123.12,94.30%,79.83%,17 Feb 2023  19:39
93.6,104.8,94.81%,73.40%,17 Feb 2023  19:39
97.53,109.53,91.49%,81.86%,17 Feb 2023  18:58
97.6,142.4,83.15%,81.57%,17 Feb 2023  15:11
114.4,114.4,99.31%,77.24%,17 Feb 2023  06:59
104.73,119.92,94.70%,77.50%,17 Feb 2023  06:35
115.2,124.0,96.15%,81.16%,16 Feb 2023  17:44
104.8,110.4,95.00%,78.69%,15 Feb 2023  19:42
103.13,115.92,92.52%,72.57%,15 Feb 2023  19:21
112.72,115.92,98.63%,72.83%,15 Feb 2023  18:50
119.92,122.32,97.42%,81.08%,15 Feb 2023  18:49
120.0,139.2,92.57%,72.07%,15 Feb 2023  18:49
130.31,138.31,97.11%,75.71%,15 Feb 2023  18:49
119.12,127.91,97.50%,84.44%,14 Feb 2023  23:30
123.92,135.11,95.38%,78.56%,13 Feb 2023  19:45
104.0,127.2,90.00%,81.35%,11 Feb 2023  21:24
102.86,132.36,86.47%,81.31%,11 Feb 2023  21:24
124.0,132.8,96.99%,80.63%,11 Feb 2023  09:13
130.4,136.8,98.25%,84.37%,10 Feb 2023  15:47
111.2,115.2,95.95%,76.63%,09 Feb 2023  16:57
116.72,116.72,100.00%,86.23%,09 Feb 2023  15:12
100.0,100.0,99.21%,65.29%,09 Feb 2023  15:12
99.93,99.93,100.00%,83.80%,09 Feb 2023  15:09
104.0,131.2,85.29%,73.30%,09 Feb 2023  15:08
94.34,145.5,78.80%,79.28%,09 Feb 2023  15:08
113.45,128.63,95.03%,86.62%,08 Feb 2023  21:45
107.93,115.92,95.21%,65.53%,08 Feb 2023  21:44
121.52,144.7,91.71%,88.10%,08 Feb 2023  14:30
135.2,156.0,93.85%,91.12%,08 Feb 2023  14:29
123.2,132.0,98.18%,83.74%,07 Feb 2023  17:39
108.8,140.0,86.93%,80.45%,07 Feb 2023  17:36
123.2,136.8,92.49%,83.59%,06 Feb 2023  20:41
112.72,134.31,92.86%,86.48%,06 Feb 2023  20:40
109.53,157.5,84.26%,84.81%,06 Feb 2023  20:39
109.53,121.52,96.05%,87.07%,06 Feb 2023  19:03
81.6,108.8,87.59%,74.76%,05 Feb 2023  22:49
108.8,116.8,95.95%,81.18%,05 Feb 2023  22:49
104.73,122.32,92.90%,82.10%,05 Feb 2023  21:58
117.52,117.52,100.00%,86.99%,05 Feb 2023  21:40
115.12,119.92,96.71%,77.54%,05 Feb 2023  21:39
111.13,121.52,96.10%,85.14%,05 Feb 2023  21:03
103.93,117.52,93.24%,84.36%,04 Feb 2023  16:26
114.32,119.12,95.45%,73.28%,04 Feb 2023  15:11
115.12,123.92,93.08%,74.04%,04 Feb 2023  15:10
119.2,119.2,96.15%,77.03%,03 Feb 2023  17:25
126.32,136.71,97.08%,82.51%,03 Feb 2023  17:13
111.2,119.2,95.36%,79.98%,03 Feb 2023  17:12
104.73,104.73,99.24%,82.30%,02 Feb 2023  18:43
109.6,116.8,96.60%,83.25%,02 Feb 2023  18:39
94.34,106.33,92.09%,73.43%,02 Feb 2023  18:39
119.92,124.72,96.86%,83.92%,02 Feb 2023  18:38
109.6,122.4,94.84%,82.45%,02 Feb 2023  18:24
109.6,124.0,90.45%,77.43%,02 Feb 2023  18:24
123.12,127.91,96.30%,82.05%,02 Feb 2023  18:23
127.83,135.82,97.06%,83.68%,02 Feb 2023  18:22
117.52,122.32,97.40%,81.02%,02 Feb 2023  18:21
99.93,125.52,91.19%,76.69%,02 Feb 2023  16:57
110.4,115.2,97.92%,84.88%,01 Feb 2023  23:13
124.72,127.91,98.14%,83.52%,01 Feb 2023  20:36
113.52,118.32,97.32%,84.64%,01 Feb 2023  19:12
112.72,128.71,90.36%,77.03%,31 Jan 2023  19:09
113.52,122.32,96.08%,85.15%,30 Jan 2023  22:38
115.12,123.92,92.99%,82.60%,30 Jan 2023  14:52
118.32,136.71,94.19%,85.81%,30 Jan 2023  14:41
114.32,124.72,97.44%,81.49%,30 Jan 2023  14:28
108.0,127.2,94.38%,84.07%,29 Jan 2023  21:40
126.32,131.11,96.99%,85.82%,28 Jan 2023  22:13
129.51,134.31,97.02%,86.88%,28 Jan 2023  22:12
131.11,144.7,93.96%,82.75%,27 Jan 2023  21:44
119.92,123.92,96.20%,78.11%,27 Jan 2023  18:30
123.92,131.91,97.01%,85.02%,27 Jan 2023  17:53
122.32,131.11,96.36%,82.43%,27 Jan 2023  17:53
110.4,133.6,91.72%,81.82%,26 Jan 2023  21:35
131.91,135.91,98.82%,89.98%,26 Jan 2023  21:34
114.25,114.25,98.62%,86.04%,26 Jan 2023  20:33
100.73,111.93,93.66%,78.57%,26 Jan 2023  20:32
106.33,117.52,95.92%,84.55%,26 Jan 2023  17:57
110.33,110.33,97.87%,62.19%,26 Jan 2023  17:51
107.06,118.24,95.33%,82.87%,26 Jan 2023  17:23
107.2,119.2,94.67%,81.03%,26 Jan 2023  16:14
104.73,127.12,89.38%,81.04%,23 Jan 2023  18:12
124.72,131.11,97.58%,82.12%,23 Jan 2023  16:27
112.0,122.4,90.00%,69.26%,22 Jan 2023  21:07
119.12,142.31,92.70%,88.14%,22 Jan 2023  20:53
119.92,136.71,91.33%,82.70%,22 Jan 2023  20:53
126.32,131.91,95.83%,82.08%,22 Jan 2023  20:52
119.12,124.72,96.86%,77.73%,22 Jan 2023  18:47
110.4,117.6,95.30%,72.14%,21 Jan 2023  20:14
123.12,129.51,95.12%,77.73%,21 Jan 2023  18:56
99.2,128.0,90.00%,88.31%,21 Jan 2023  17:03
120.72,120.72,98.05%,80.05%,21 Jan 2023  17:03
129.6,142.4,96.09%,81.02%,21 Jan 2023  14:12
106.4,120.0,91.03%,76.50%,21 Jan 2023  10:25
104.73,111.13,94.37%,81.56%,21 Jan 2023  09:44
103.2,118.4,92.00%,79.67%,21 Jan 2023  09:20
131.2,140.0,95.45%,82.82%,20 Jan 2023  22:07
84.74,107.93,86.43%,66.20%,20 Jan 2023  21:40
116.8,120.8,97.39%,69.80%,20 Jan 2023  21:09
107.2,107.2,98.53%,79.28%,20 Jan 2023  19:59
104.8,110.4,97.14%,83.10%,20 Jan 2023  19:53
104.8,116.8,91.89%,80.12%,20 Jan 2023  19:48
120.8,135.2,94.67%,87.25%,20 Jan 2023  19:34
106.33,123.12,92.95%,80.20%,19 Jan 2023  19:46
121.44,121.44,98.08%,76.76%,19 Jan 2023  18:31
112.8,119.2,98.00%,79.02%,19 Jan 2023  17:46
110.4,119.2,94.08%,82.03%,19 Jan 2023  17:44
109.6,113.6,95.89%,80.34%,19 Jan 2023  17:19
97.6,119.2,88.16%,79.98%,19 Jan 2023  00:27
122.32,127.91,98.75%,81.04%,18 Jan 2023  23:32
99.2,129.6,86.14%,77.03%,18 Jan 2023  23:17
113.6,128.8,95.06%,82.05%,18 Jan 2023  19:41
108.73,135.91,91.86%,82.60%,18 Jan 2023  18:07
117.52,125.52,97.47%,81.70%,17 Jan 2023  22:56
111.2,122.4,94.87%,76.76%,17 Jan 2023  22:54
109.53,114.32,95.89%,81.07%,17 Jan 2023  22:47
125.52,131.11,98.18%,84.08%,17 Jan 2023  22:46
91.14,101.53,88.97%,66.20%,17 Jan 2023  21:21
100.8,122.4,93.51%,78.23%,17 Jan 2023  21:04
101.6,115.2,90.48%,76.38%,17 Jan 2023  19:03
110.4,120.8,94.16%,78.52%,17 Jan 2023  19:02
116.8,126.4,95.03%,81.22%,17 Jan 2023  19:02
106.33,118.32,93.38%,69.55%,17 Jan 2023  18:41
126.32,145.5,94.05%,82.07%,17 Jan 2023  18:14
123.2,133.6,95.81%,79.03%,17 Jan 2023  17:42
106.4,128.8,85.54%,75.87%,17 Jan 2023  00:06
114.4,119.2,95.42%,77.30%,16 Jan 2023  20:18
122.4,140.8,94.32%,86.99%,16 Jan 2023  19:48
121.52,126.32,96.32%,84.65%,16 Jan 2023  19:47
106.33,132.71,87.50%,80.66%,16 Jan 2023  19:46
108.8,122.4,90.06%,77.57%,16 Jan 2023  19:46
128.0,132.8,97.02%,77.13%,16 Jan 2023  19:45
103.13,123.92,90.51%,76.02%,16 Jan 2023  19:44
115.12,115.12,97.96%,74.13%,16 Jan 2023  19:44
134.4,145.6,96.17%,81.02%,16 Jan 2023  19:37
112.0,131.2,95.15%,78.49%,15 Jan 2023  22:01
114.4,132.8,92.22%,82.38%,15 Jan 2023  21:36
120.0,136.8,91.33%,83.29%,15 Jan 2023  21:05
112.8,116.8,96.00%,80.34%,15 Jan 2023  20:08
123.2,132.0,95.81%,75.49%,15 Jan 2023  20:07
124.8,137.6,94.80%,84.21%,15 Jan 2023  20:07
121.6,127.2,96.88%,84.07%,15 Jan 2023  19:48
91.2,112.0,87.16%,79.78%,15 Jan 2023  14:40
111.13,122.32,94.12%,88.02%,15 Jan 2023  14:32
119.2,124.0,98.06%,78.90%,15 Jan 2023  14:31
119.2,125.6,97.48%,84.67%,15 Jan 2023  10:46
107.13,121.52,94.77%,88.02%,15 Jan 2023  10:09
118.32,124.72,95.51%,83.24%,15 Jan 2023  10:09
115.92,124.72,92.50%,72.90%,15 Jan 2023  10:08
124.0,133.6,95.24%,79.59%,15 Jan 2023  09:49
115.92,122.32,98.69%,84.73%,14 Jan 2023  19:35
100.0,112.8,92.25%,87.28%,14 Jan 2023  19:20
106.4,121.6,94.81%,76.28%,14 Jan 2023  18:12
118.32,133.51,97.01%,86.53%,14 Jan 2023  18:11
118.4,129.6,93.90%,86.04%,14 Jan 2023  17:12
132.8,160.0,91.00%,87.55%,14 Jan 2023  17:11
113.6,123.2,94.27%,78.82%,12 Jan 2023  21:25
125.52,135.11,94.22%,80.01%,12 Jan 2023  21:19
117.6,132.0,93.37%,75.43%,12 Jan 2023  21:19
129.6,138.4,96.55%,85.30%,12 Jan 2023  21:11
103.13,119.92,92.72%,78.10%,12 Jan 2023  20:35
109.53,122.32,93.59%,72.40%,12 Jan 2023  20:34
100.8,107.2,95.59%,85.78%,11 Jan 2023  21:34
106.4,121.6,94.16%,80.05%,11 Jan 2023  20:04
116.0,128.0,94.48%,85.02%,11 Jan 2023  19:33
132.0,138.4,98.84%,86.62%,11 Jan 2023  15:34
112.72,129.51,93.83%,84.07%,08 Jan 2023  18:27
115.92,132.71,95.18%,83.35%,08 Jan 2023  18:27
139.11,143.1,98.32%,92.85%,08 Jan 2023  18:24
111.93,126.32,92.59%,78.04%,08 Jan 2023  14:09
127.12,132.71,97.60%,83.64%,08 Jan 2023  14:09
120.72,139.11,92.00%,82.39%,08 Jan 2023  14:08
112.8,128.8,92.68%,85.26%,07 Jan 2023  19:12
120.0,120.0,99.34%,76.41%,07 Jan 2023  19:12
123.92,138.31,95.38%,81.85%,07 Jan 2023  17:17
126.32,131.11,98.17%,84.89%,07 Jan 2023  17:16
118.32,125.52,95.57%,84.16%,07 Jan 2023  17:16
112.0,122.4,93.63%,75.37%,07 Jan 2023  15:18
105.53,118.32,95.33%,80.00%,07 Jan 2023  12:05
104.0,124.0,89.63%,69.86%,07 Jan 2023  12:05
100.73,113.52,93.10%,71.82%,07 Jan 2023  09:31
118.32,132.71,93.45%,85.71%,06 Jan 2023  20:00
112.0,116.0,96.64%,73.37%,04 Jan 2023  19:58
132.71,132.71,100.00%,88.83%,03 Jan 2023  18:22
113.6,118.4,96.67%,84.51%,02 Jan 2023  23:41
114.32,125.52,95.54%,87.98%,02 Jan 2023  22:50
123.12,125.52,96.91%,80.23%,02 Jan 2023  22:49
116.72,133.51,94.61%,81.49%,02 Jan 2023  20:24
111.2,126.4,93.25%,69.79%,02 Jan 2023  20:24
121.52,147.9,90.91%,80.60%,02 Jan 2023  16:06
128.0,128.0,100.00%,81.04%,02 Jan 2023  16:04
121.52,131.91,95.18%,86.21%,01 Jan 2023  19:36
130.31,139.91,95.43%,85.43%,01 Jan 2023  19:35
99.2,116.0,90.48%,73.08%,01 Jan 2023  11:21
103.86,131.82,90.91%,88.99%,01 Jan 2023  11:20
115.12,128.71,92.73%,73.45%,01 Jan 2023  11:20
117.6,127.2,95.06%,82.37%,01 Jan 2023  11:20
107.13,118.32,95.33%,81.03%,31 Dec 2022  18:09
120.8,124.0,97.45%,81.58%,31 Dec 2022  18:07
105.6,120.8,90.20%,73.40%,31 Dec 2022  18:07
111.2,124.0,90.74%,72.08%,31 Dec 2022  18:07
122.4,131.2,93.41%,79.82%,31 Dec 2022  15:41
126.4,146.4,95.08%,86.89%,31 Dec 2022  14:42
125.52,133.51,95.81%,79.03%,31 Dec 2022  12:16
112.0,144.0,91.67%,81.24%,30 Dec 2022  19:16
125.52,138.31,94.80%,87.39%,30 Dec 2022  19:15
133.6,138.4,97.11%,82.70%,30 Dec 2022  19:15
125.6,136.8,93.57%,84.05%,30 Dec 2022  19:14
120.8,145.6,89.56%,91.56%,30 Dec 2022  17:43
116.0,120.0,98.00%,84.08%,29 Dec 2022  17:03
111.2,136.0,91.76%,81.87%,29 Dec 2022  17:03
114.4,133.6,91.62%,86.53%,29 Dec 2022  17:02
121.52,137.51,93.64%,78.10%,29 Dec 2022  17:02
124.8,134.4,95.83%,82.69%,29 Dec 2022  15:54
123.92,130.31,98.16%,83.93%,29 Dec 2022  11:47
96.0,129.6,87.43%,72.20%,29 Dec 2022  11:41
111.93,127.12,91.88%,71.23%,27 Dec 2022  20:25
131.91,143.1,95.53%,85.50%,27 Dec 2022  20:25
115.2,119.2,97.33%,78.71%,27 Dec 2022  17:55
127.91,131.91,97.59%,83.03%,27 Dec 2022  17:55
112.72,123.12,96.10%,86.47%,27 Dec 2022  15:36
125.6,125.6,100.00%,85.67%,27 Dec 2022  15:35
85.54,121.52,86.93%,84.31%,27 Dec 2022  15:32
107.13,130.31,90.80%,85.80%,27 Dec 2022  15:31
120.72,136.71,94.74%,85.39%,27 Dec 2022  15:30
91.94,123.92,84.91%,80.57%,27 Dec 2022  15:28
116.64,130.23,95.12%,83.82%,27 Dec 2022  15:28
109.6,129.6,91.46%,85.65%,27 Dec 2022  15:27
117.52,136.71,91.81%,86.49%,27 Dec 2022  15:26
123.2,136.8,94.77%,82.89%,27 Dec 2022  15:25
111.13,126.32,93.04%,84.16%,27 Dec 2022  15:25
114.32,122.32,97.39%,88.57%,27 Dec 2022  15:24
117.52,132.71,91.67%,79.33%,27 Dec 2022  15:23
108.73,115.92,94.59%,79.11%,27 Dec 2022  12:19
118.32,125.52,95.63%,86.89%,27 Dec 2022  09:54
122.4,128.0,96.30%,79.10%,27 Dec 2022  09:52
110.4,125.6,91.19%,79.68%,27 Dec 2022  09:52
107.13,107.13,97.81%,74.76%,27 Dec 2022  09:52
109.53,122.32,92.36%,77.97%,27 Dec 2022  09:51
114.32,139.91,91.48%,83.40%,27 Dec 2022  09:50
106.4,114.4,95.17%,72.85%,27 Dec 2022  00:02
110.33,126.32,93.13%,82.32%,26 Dec 2022  17:55
117.52,138.31,94.80%,88.21%,26 Dec 2022  14:38
105.53,110.33,97.12%,81.32%,26 Dec 2022  14:37
113.52,135.11,91.81%,80.84%,26 Dec 2022  14:36
111.2,144.0,92.22%,85.41%,26 Dec 2022  12:12
97.6,97.6,100.00%,83.90%,25 Dec 2022  19:12
108.73,119.12,91.61%,71.15%,25 Dec 2022  19:10
112.72,161.49,85.15%,83.10%,25 Dec 2022  19:09
105.6,126.4,89.87%,73.63%,25 Dec 2022  15:52
88.8,108.8,90.44%,82.69%,24 Dec 2022  00:43
110.33,126.32,93.08%,80.88%,23 Dec 2022  23:42
112.72,137.51,87.21%,90.00%,23 Dec 2022  14:41
119.92,135.11,94.12%,83.68%,23 Dec 2022  14:38
100.73,140.71,83.62%,85.10%,23 Dec 2022  14:38
115.12,133.51,95.27%,84.98%,23 Dec 2022  14:37
107.93,144.7,87.29%,80.99%,23 Dec 2022  14:37
137.51,147.1,96.20%,84.69%,23 Dec 2022  14:35
118.32,125.52,96.84%,80.74%,23 Dec 2022  14:34
